label,text
预问诊与病情小结,患者有胃部不适的表现吗？
预问诊与病情小结,患者是否有头痛症状？
预问诊与病情小结,患者是否有胸痛？
预问诊与病情小结,患者是否出现体重减轻的情况？
推荐检验检查,是否建议安排患者的年度体检？
预问诊与病情小结,上次复诊中，患者的血压如何？
推荐检验检查,复诊时是否需要进行血常规检查？
预问诊与病情小结,患者是否按时完成了复查？
管理建议,是否需要提醒患者下次复诊？
推荐检验检查,何时进行下次影像学检查？
预问诊与病情小结,患者是否完成了药物治疗的复查？
推荐检验检查,上次检查结果是否需要复查确认？
推荐检验检查,是否需要重新安排诊断性检查？
预问诊与病情小结,患者是否有明显疲劳感？
预问诊与病情小结,过去几周患者的食欲是否减退？
预问诊与病情小结,关节疼痛是否影响了日常活动？
预问诊与病情小结,最近是否有过头晕或晕厥情况？
预问诊与病情小结,过去三个月患者的体温变化如何？
预问诊与病情小结,最近是否有便秘或腹泻症状？
病史档案查询,家族中有无心肌梗死的病史？
疾病风险评估,该患者的年龄段是否有特别风险？
疾病风险评估,长期高脂饮食是否增加了健康风险？
推荐检验检查,是否有必要进一步评估患者的肾功能？
预问诊与病情小结,患者的血糖水平是否需要进一步控制？
疾病风险评估,患者的慢性病是否影响心血管风险？
病史档案查询,患者的家族是否有肝脏疾病史？
疾病风险评估,患者的生活环境是否存在健康隐患？
用药指导,患者的过敏史是否增加药物使用风险？
推荐检验检查,患者需要进行肺癌筛查吗？
推荐检验检查,需不需要做乳腺癌筛查？
推荐检验检查,该患者有糖尿病筛查需求吗？
推荐检验检查,是否需要对患者进行前列腺癌筛查？
推荐检验检查,是否建议患者做甲状腺功能筛查？
推荐检验检查,患者是否需要骨密度筛查？
推荐检验检查,该患者的血糖水平是否需要筛查？
推荐检验检查,高血压筛查是否需要进行？
预问诊与病情小结,患者最近的血糖水平变化如何？
预问诊与病情小结,糖尿病控制情况是否有变化？
预问诊与病情小结,患者的血压控制效果如何？
预问诊与病情小结,慢性肾病的指标变化如何？
推荐诊疗方案,哮喘控制是否需要调整药物？
管理建议,患者是否按时监测血糖？
预问诊与病情小结,患者的慢性心脏病情况如何？
推荐诊疗方案,是否需要调整患者的降压药？
推荐检验检查,肝功能是否需要定期复查？
预问诊与病情小结,哮喘症状是否有加重趋势？
推荐检验检查,是否需要对患者进行心脏病筛查？
推荐检验检查,高血压是否需要更深入的筛查？
推荐检验检查,该患者是否需要脂肪肝筛查？
推荐检验检查,是否建议进行眼科糖尿病并发症筛查？
推荐诊疗方案,是否需要加重慢性阻塞性肺病的药物管理？
管理建议,患者是否按时服用降糖药？
检查结果查询解读,肾病患者的尿蛋白指标是否异常？
推荐检验检查,是否建议进行心血管病相关检查？
推荐检验检查,患者是否需要筛查糖尿病并发症？
推荐检验检查,该患者是否需要进行青光眼筛查？
推荐检验检查,是否建议做风湿性关节炎筛查？
推荐检验检查,该患者是否需要定期做胃癌筛查？
推荐检验检查,是否有必要对患者进行胆囊疾病筛查？
健康处方,患者是否需要做长期糖尿病控制计划？
推荐检验检查,是否需要监测患者的胆固醇水平？
预问诊与病情小结,哮喘患者的肺功能是否有下降趋势？
健康处方,是否需要增加患者的运动干预？
预问诊与病情小结,患者的慢性肺病控制得如何？
健康处方,慢性疼痛的管理是否需要调整？
推荐检验检查,慢性心力衰竭患者是否需要更密切监测？
推荐检验检查,肾功能受损患者是否需要更频繁复查？
管理建议,患者的肥胖管理是否需要重新评估？
疾病风险评估,帮我评估一下患者的胆结石风险？
疾病风险评估,帮我评估一下患者的肝炎风险？
疾病风险评估,帮我评估一下患者的贫血风险？
疾病风险评估,帮我评估一下患者的骨质疏松风险？
疾病风险评估,帮我评估一下患者的抑郁症风险？
疾病风险评估,帮我评估一下患者的焦虑症风险？
疾病风险评估,帮我评估一下患者的阿尔茨海默病风险？
疾病风险评估,帮我评估一下患者的帕金森病风险？
疾病风险评估,帮我评估一下患者的类风湿关节炎风险？
疾病风险评估,帮我评估一下患者的红斑狼疮风险？
疾病风险评估,帮我评估一下患者的甲状腺疾病风险？
疾病风险评估,帮我评估一下患者的青光眼风险？
疾病风险评估,帮我评估一下患者的中耳炎风险？
疾病风险评估,帮我评估一下患者的鼻窦炎风险？
疾病风险评估,帮我评估一下患者的扁桃体炎风险？
疾病风险评估,帮我评估一下患者的胃炎风险？
疾病风险评估,帮我评估一下患者的十二指肠溃疡风险？
疾病风险评估,帮我评估一下患者的胃溃疡风险？
疾病风险评估,帮我评估一下患者的痔疮风险？
疾病风险评估,帮我评估一下患者的肛瘘风险？
疾病风险评估,帮我评估一下患者的肛裂风险？
疾病风险评估,帮我评估一下患者的前列腺炎风险？
疾病风险评估,帮我评估一下患者的盆腔炎风险？
疾病风险评估,帮我评估一下患者的附件炎风险？
疾病风险评估,帮我评估一下患者的子宫内膜炎风险？
疾病风险评估,帮我评估一下患者的宫颈炎风险？
疾病风险评估,帮我评估一下患者的阴道炎风险？
疾病风险评估,帮我评估一下患者的尿道炎风险？
疾病风险评估,帮我评估一下患者的手足口病风险？
疾病风险评估,帮我评估一下患者的水痘风险？
疾病风险评估,帮我评估一下患者的麻疹风险？
疾病风险评估,帮我评估一下患者的风疹风险？
疾病风险评估,帮我评估一下患者的流行性感冒风险？
疾病风险评估,帮我评估一下患者的肺炎风险？
疾病风险评估,帮我评估一下患者的支气管炎风险？
疾病风险评估,帮我评估一下患者的哮喘风险？
疾病风险评估,帮我评估一下患者的肺气肿风险？
疾病风险评估,帮我评估一下患者的肺心病风险？
疾病风险评估,帮我评估一下患者的冠心病风险？
疾病风险评估,帮我评估一下患者的脑梗死风险？
疾病风险评估,帮我评估一下患者的脑出血风险？
疾病风险评估,帮我评估一下患者的癫痫风险？
疾病风险评估,帮我评估一下患者的偏头痛风险？
疾病风险评估,帮我评估一下患者的失眠风险？
疾病风险评估,帮我评估一下患者的嗜睡风险？
疾病风险评估,帮我评估一下患者的眩晕风险？
疾病风险评估,帮我评估一下患者的耳鸣风险？
疾病风险评估,帮我评估一下患者的鼻出血风险？
疾病风险评估,帮我评估一下患者的牙龈出血风险？
疾病风险评估,帮我评估一下患者的口腔溃疡风险？
疾病风险评估,帮我评估一下患者的口臭风险？
疾病风险评估,帮我评估一下患者的脱发风险？
疾病风险评估,帮我评估一下患者的白发风险？
疾病风险评估,帮我评估一下患者的皮肤过敏风险？
疾病风险评估,帮我评估一下患者的荨麻疹风险？
疾病风险评估,帮我评估一下患者的湿疹风险？
疾病风险评估,帮我评估一下患者的牛皮癣风险？
疾病风险评估,帮我评估一下患者的白癜风风险？
疾病风险评估,帮我评估一下患者的红斑风险？
疾病风险评估,帮我评估一下患者的疱疹风险？
疾病风险评估,帮我评估一下患者的胼胝风险？
疾病风险评估,帮我评估一下患者的甲沟炎风险？
疾病风险评估,帮我评估一下患者的灰指甲风险？
疾病风险评估,帮我评估一下患者的脚气风险？
疾病风险评估,帮我评估一下患者的冻疮风险？
疾病风险评估,帮我评估一下患者的痱子风险？
疾病风险评估,帮我评估一下患者的晒伤风险？
疾病风险评估,帮我评估一下患者的烫伤风险？
疾病风险评估,帮我评估一下患者的冻伤风险？
疾病风险评估,帮我评估一下患者的烧伤风险？
疾病风险评估,帮我评估一下患者的擦伤风险？
疾病风险评估,帮我评估一下患者的割伤风险？
疾病风险评估,帮我评估一下患者的刺伤风险？
疾病风险评估,帮我评估一下患者的扭伤风险？
疾病风险评估,帮我评估一下患者的骨折风险？
疾病风险评估,帮我评估一下患者的脱臼风险？
疾病风险评估,帮我评估一下患者的肌肉拉伤风险？
疾病风险评估,帮我评估一下患者的韧带损伤风险？
疾病风险评估,帮我评估一下患者的半月板损伤风险？
疾病风险评估,帮我评估一下患者的颈椎病风险？
疾病风险评估,帮我评估一下患者的腰椎间盘突出风险？
疾病风险评估,帮我评估一下患者的肩周炎风险？
疾病风险评估,帮我评估一下患者的腱鞘炎风险？
疾病风险评估,帮我评估一下患者的网球肘风险？
疾病风险评估,帮我评估一下患者的高尔夫球肘风险？
疾病风险评估,帮我评估一下患者的跟腱炎风险？
疾病风险评估,帮我评估一下患者的足底筋膜炎风险？
疾病风险评估,帮我评估一下患者的扁平足风险？
疾病风险评估,帮我评估一下患者的高弓足风险？
疾病风险评估,帮我评估一下患者的拇外翻风险？
疾病风险评估,帮我评估一下患者的锤状趾风险？
推荐检验检查,患者下次复诊需要做哪些检查？
管理建议,患者复诊可以提前或者推迟吗？
管理建议,患者复诊前需要做哪些心理准备？
管理建议,患者复诊前需要了解哪些医院流程？
管理建议,患者复诊前需要预约哪个科室？
管理建议,患者复诊前需要找哪位医生？
管理建议,患者复诊前需要了解哪些治疗进展？
预问诊与病情小结,患者上次就诊的症状描述是什么？
预问诊与病情小结,患者上次就诊的诊断结果是什么？
预问诊与病情小结,患者上次就诊做了哪些检查？
预问诊与病情小结,患者上次就诊开了哪些药物？
预问诊与病情小结,患者上次就诊医生有哪些嘱咐？
预问诊与病情小结,患者上次就诊的病历记录在哪里可以查看？
预问诊与病情小结,患者上次就诊的费用明细是怎样的？
预问诊与病情小结,患者上次就诊有没有进行手术？
预问诊与病情小结,患者上次就诊的手术情况如何？
预问诊与病情小结,患者上次就诊有没有住院？
预问诊与病情小结,患者上次就诊的住院时间是多久？
预问诊与病情小结,患者上次就诊的住院费用是多少？
预问诊与病情小结,患者上次就诊的住院科室是哪个？
预问诊与病情小结,患者上次就诊的主治医生是谁？
预问诊与病情小结,患者上次就诊有没有进行康复治疗？
预问诊与病情小结,患者上次就诊的康复治疗效果如何？
预问诊与病情小结,患者上次就诊有没有进行中医治疗？
预问诊与病情小结,患者上次就诊的中医治疗方法是什么？
预问诊与病情小结,患者上次就诊有没有进行心理治疗？
预问诊与病情小结,患者上次就诊的心理治疗效果如何？
管理建议,患者上次就诊有没有进行营养指导？
管理建议,患者上次就诊的营养指导内容是什么？
管理建议,患者上次就诊的随访结果如何？
预问诊与病情小结,患者上次就诊有没有进行基因检测？
检查结果查询解读,患者上次就诊的基因检测结果是什么？
预问诊与病情小结,患者上次就诊有没有进行病理检查？
检查结果查询解读,患者上次就诊的病理检查结果是什么？
预问诊与病情小结,患者上次就诊有没有进行影像检查？
检查结果查询解读,患者上次就诊的影像检查结果是什么？
预问诊与病情小结,患者上次就诊有没有进行超声检查？
检查结果查询解读,患者上次就诊的超声检查结果是什么？
预问诊与病情小结,患者上次就诊有没有进行心电图检查？
检查结果查询解读,患者上次就诊的心电图检查结果是什么？
预问诊与病情小结,患者上次就诊有没有进行脑电图检查？
检查结果查询解读,患者上次就诊的脑电图检查结果是什么？
预问诊与病情小结,患者上次就诊有没有进行内镜检查？
预问诊与病情小结,患者上次就诊有没有进行实验室检查？
检查结果查询解读,患者上次就诊的实验室检查结果是什么？
病史档案查询,患者是否有药物过敏史？
病史档案查询,患者有哪些家族遗传病？
预问诊与病情小结,近期有哪些不适症？
预问诊与病情小结,近期是否出现低血糖？
预问诊与病情小结,近期是否出现酮症酸中毒等急性并发症
用药记录,患者当前的用药情况是什么？
用药记录,患者当前用药方案延续时间？
用药记录,患者最近一次调药什么时候？
用药记录,患者最近一次调整前用药方案？
预问诊与病情小结,患者的基本健康数据如何？（如血压、血糖）
预问诊与病情小结,患者近期血糖控制如何？是否达标？
预问诊与病情小结,患者的近3个月糖尿病的关键指标分别是？请展示趋势图
预问诊与病情小结,患者最近1年的并发症筛查是否完成结果如何？
病史档案查询,患者近期饮食运动情绪睡眠情况如何？
预问诊与病情小结,基于患者的病史与当前治疗情况与健康数据，生成一份病情小结
推荐检验检查,基于当前现状，患者本次该做什么检查？
检查结果查询解读,请针对糖化做出指标解读
检查结果查询解读,请针对眼底报告做出报告解读
辅助诊断,根据这些症状，最可能的诊断是什么？
辅助诊断,根据患者病情和本次检验检查，有没有新发疾病？
推荐诊疗方案,根据患者病情和本次检验检查，推荐治疗方案
推荐诊疗方案,根据患者病情和本次检验检查，是否可直接续方？
推荐诊疗方案,根据患者病情和本次检验检查，是否需要调药？
用药指导,请发一份达格列净药品的说明书
用药指导,达格列净药品是否在医保范围内？
用药指导,患者可以开达格列净吗？有什么限定么？可以开几天？
用药指导,达格列净与患者当前用药有禁忌么？有替代药品么？
辅助诊断,这种咳嗽可能是什么原因引起的？
推荐检验检查,头痛可能需要哪些检查？
辅助诊断,腹痛可能的原因是什么？
推荐诊疗方案,该患者需要服用抗生素吗？
用药指导,这种药物的推荐剂量是多少？
用药指导,患者能否长期使用此药？
推荐检验检查,针对这个症状，推荐做哪些检查？
推荐检验检查,患者需要做影像学检查吗？
推荐检验检查,是否需要做血液检查？
辅助诊断,皮疹可能是过敏引起的吗？
辅助诊断,咳嗽持续多久需就诊？
推荐检验检查,胃痛是否需要胃镜检查？
推荐检验检查,患者是否需要CT检查？
推荐检验检查,是否建议进一步MRI检查？
推荐检验检查,验血结果多久能出来？
推荐检验检查,呼吸急促是否需要检查？
用药指导,使用药物时有哪些禁忌？
用药指导,该药物的推荐疗程是多久？
推荐检验检查,哪些血液检测对患者有帮助？
推荐检验检查,是否需要做尿液检测？
推荐检验检查,哪些影像检查能确认诊断？
辅助诊断,患者的咳嗽是病毒性的吗？
辅助诊断,胃痛可能由什么引起？
辅助诊断,背痛是姿势不良引起的吗？
推荐诊疗方案,是否需要增加药物剂量？
用药指导,药物之间是否有冲突？
用药指导,该药物适合孕妇服用吗？
推荐检验检查,长期头晕是否需要进一步检查？
辅助诊断,患者的皮肤瘙痒可能是什么病因？
用药指导,如何管理药物的副作用？
用药指导,这个药物能否和其他药一起服用？
推荐诊疗方案,是否有该药物的替代方案？
推荐检验检查,是否需要做脑部CT检查？
推荐检验检查,这种症状是否需要进一步实验室检测？
推荐检验检查,患者需要做心脏超声吗？
病史档案查询,患者是否有过敏史？
病史档案查询,既往有无心脏病史？
预问诊与病情小结,最近是否有过胸痛发作？
病史档案查询,患者是否有消化系统疾病史？
病史档案查询,患者家族有无肿瘤病史？
病史档案查询,过去有无高血压病史？
用药记录,患者近期有无服用抗生素？
病史档案查询,是否有长期吸烟史？
病史档案查询,是否曾经接受过手术治疗？
病史档案查询,是否有糖尿病史？
用药记录,是否正在使用非处方药？
用药记录,患者的抗凝药是否按时服用？
用药记录,患者有无用过抗抑郁药物？
病史档案查询,目前患者的药物不良反应有哪些？
用药记录,最近是否换过降糖药物？
用药记录,近期是否停止过任何药物？
用药记录,是否有调整过抗生素治疗方案？
检查结果查询解读,患者的既往影像资料是否可以调阅？
检查结果查询解读,患者的心电图记录是否可用？
病史档案查询,是否可以查看患者的上次住院记录？
检查结果查询解读,最近的实验室检查结果在哪里可以找到？
检查结果查询解读,患者的既往诊断报告能否调出？
病史档案查询,患者的既往处方历史在哪里？
病史档案查询,有没有患者的既往手术记录？
检查结果查询解读,能否调取患者的上次CT扫描图像？
检查结果查询解读,患者的影像学报告能否找到？
病史档案查询,患者的疫苗接种记录可以查看吗？
预问诊与病情小结,患者近期的体重变化是否需要关注？
辅助诊断,高烧伴随咳嗽，可能是什么感染？
辅助诊断,心电图异常与什么疾病相关？
用药指导,皮疹是否与药物过敏有关？
辅助诊断,腹痛是胃炎还是其他原因？
推荐检验检查,该患者的气短需要进一步检查吗？
推荐检验检查,该患者是否需要做血常规检查？
推荐检验检查,是否需要安排患者做胸片？
推荐检验检查,是否建议做肝功能检查？
推荐检验检查,患者是否需要进一步做心脏超声？
推荐检验检查,是否需要进行甲状腺功能检测？
推荐检验检查,患者的血脂需要复查吗？
推荐检验检查,是否建议进行尿常规检查？
推荐检验检查,该患者是否需要肾功能检查？
推荐检验检查,是否需要进一步的CT检查？
推荐检验检查,需要进行血糖监测吗？
检查结果查询解读,患者的血常规结果正常吗？
检查结果查询解读,胸片结果显示什么问题？
检查结果查询解读,患者的血糖水平正常吗？
检查结果查询解读,甲状腺功能测试结果如何？
检查结果查询解读,尿常规检查结果是否正常？
检查结果查询解读,该患者的肾功能检查有问题吗？
检查结果查询解读,CT扫描结果是否有异常？
检查结果查询解读,患者的心脏超声结果如何？
辅助诊断,患者的胸痛可能是冠心病还是其他问题？
辅助诊断,该患者的腹痛是由胃炎还是溃疡引起的？
辅助诊断,咳嗽是由感染还是过敏引起的？
辅助诊断,是心肌梗死还是心绞痛？
辅助诊断,是急性阑尾炎还是其他消化系统疾病？
辅助诊断,是细菌感染还是病毒感染？
辅助诊断,是药物副作用还是疾病加重？
辅助诊断,患者的头晕是由贫血还是低血压引起的？
辅助诊断,是肾结石还是其他泌尿系统问题？
辅助诊断,是否需要排除肺部感染的可能？
推荐诊疗方案,该患者的治疗方案是否需要调整？
推荐诊疗方案,是否建议患者开始使用抗生素？
推荐诊疗方案,当前药物方案是否足够？
推荐诊疗方案,是否建议更换降压药？
推荐诊疗方案,需要调整患者的胰岛素用量吗？
推荐诊疗方案,该患者是否适合手术治疗？
推荐诊疗方案,是否需要更换抗抑郁药物？
推荐诊疗方案,是否建议患者进行康复治疗？
推荐诊疗方案,是否可以尝试非药物治疗？
推荐诊疗方案,是否考虑增加镇痛药物？
推荐诊疗方案,是否建议使用更强效的止痛药？
推荐诊疗方案,该患者是否适合使用他汀类药物？
推荐诊疗方案,该患者是否适合使用抗凝剂？
推荐诊疗方案,患者是否需要换用其他抗生素？
推荐诊疗方案,是否适合使用抗抑郁药物？
推荐诊疗方案,是否需要使用局部麻醉药物？
推荐诊疗方案,是否建议患者更换降糖药物？
推荐诊疗方案,是否考虑使用抗组胺药？
推荐诊疗方案,是否需要加用维生素补充剂？
推荐诊疗方案,是否建议患者换用非甾体抗炎药？
预问诊与病情小结,患者最近是否出现过呼吸急促？
预问诊与病情小结,之前有无持续性关节疼痛？
病史档案查询,是否有家族性高血压病史？
病史档案查询,有无家族成员患有糖尿病？
病史档案查询,患者是否有慢性咳嗽史？
预问诊与病情小结,是否有近期腹泻病史？
预问诊与病情小结,最近是否有皮疹出现？
用药记录,是否有长期服用激素类药物？
病史档案查询,有无既往鼻窦炎病史？
用药记录,是否在使用免疫抑制剂？
用药记录,患者是否使用过阿司匹林？
用药记录,最近是否有服用抗组胺药？
用药记录,患者是否有服用钙片或维生素D？
用药记录,患者是否在服用中药？
用药记录,是否正在服用抗病毒药物？
用药记录,是否在服用任何抗焦虑药？
检查结果查询解读,患者的影像学检查结果在哪里？
检查结果查询解读,该患者的最新实验室检查结果是否已上传？
检查结果查询解读,患者过去的心脏彩超报告可以找到吗？
检查结果查询解读,是否可以调阅患者的肺部CT扫描结果？
病史档案查询,患者的过敏史档案是否可用？
检查结果查询解读,是否能找到患者的既往MRI检查记录？
病史档案查询,患者的疫苗接种历史档案是否更新？
病史档案查询,患者既往的糖尿病管理记录可以查到吗？
辅助诊断,患者的腹泻可能是什么原因引起的？
辅助诊断,胸闷是否可能是心脏问题？
辅助诊断,长期头痛可能的原因有哪些？
推荐检验检查,食欲不振是否需要进一步检查？
辅助诊断,贫血是否可能由营养不良引起？
辅助诊断,患者的疲倦可能由什么原因导致？
辅助诊断,患者的关节肿胀可能是什么原因？
辅助诊断,反复发热可能提示什么疾病？
推荐检验检查,该患者是否需要做血糖检查？
推荐检验检查,是否需要为患者安排肝脏超声检查？
推荐检验检查,该患者是否需要血脂检查？
推荐检验检查,是否需要为患者开具肿瘤标志物检测？
推荐检验检查,该患者是否需要进行腹部CT检查？
推荐检验检查,是否需要进行甲状腺超声检查？
推荐检验检查,是否建议患者做尿蛋白检测？
推荐检验检查,是否需要为患者做动态心电图监测？
推荐检验检查,是否建议安排肺功能检查？
推荐检验检查,需要安排胃镜检查吗？
检查结果查询解读,血糖检查结果是否提示糖尿病？
检查结果查询解读,甲状腺功能是否异常？
检查结果查询解读,肾功能检查结果是否显示异常？
检查结果查询解读,肝功能是否有问题？
检查结果查询解读,血常规结果提示是否有感染？
检查结果查询解读,患者的尿检结果显示什么异常？
检查结果查询解读,肺功能检查结果是否正常？
检查结果查询解读,动态心电图是否显示心律异常？
检查结果查询解读,MRI检查结果是否提示肿瘤？
检查结果查询解读,患者的血脂水平如何？
辅助诊断,该患者的头痛是偏头痛还是紧张型头痛？
辅助诊断,是胆囊炎还是胃炎引起的腹痛？
辅助诊断,患者的胸闷是焦虑还是心脏病？
辅助诊断,患者的皮疹是由感染还是过敏引起的？
辅助诊断,反复发热是结核还是病毒感染？
辅助诊断,是肾结石还是其他原因引起的腰痛？
辅助诊断,是关节炎还是痛风引起的关节肿痛？
辅助诊断,是中风还是暂时性脑缺血发作？
辅助诊断,是胃酸过多还是胃溃疡引起的胃痛？
推荐诊疗方案,患者是否需要调整降糖药方案？
推荐诊疗方案,是否建议患者改用长效胰岛素？
推荐诊疗方案,是否需要改变抗抑郁药方案？
推荐诊疗方案,患者是否需要增加药物剂量？
推荐诊疗方案,是否建议患者进行手术治疗？
推荐诊疗方案,是否需要开始抗生素治疗？
推荐诊疗方案,是否需要减少激素药物的剂量？
推荐诊疗方案,需要为患者调整抗高血压药物吗？
推荐诊疗方案,是否需要停止使用止痛药？
推荐诊疗方案,是否建议患者使用抗焦虑药物？
推荐诊疗方案,是否需要为患者更换抗癫痫药物？
推荐诊疗方案,是否建议患者改用口服抗病毒药物？
推荐诊疗方案,是否推荐使用局部外用药？
推荐诊疗方案,患者是否需要使用更高剂量的镇痛药？
推荐诊疗方案,是否需要患者使用止咳药？
推荐诊疗方案,是否需要为患者使用抗精神病药物？
病史档案查询,患者是否有长期头晕的病史？
预问诊与病情小结,患者是否有慢性疲劳症状？
预问诊与病情小结,近期是否有情绪波动或抑郁？
病史档案查询,是否有长期慢性胃痛病史？
病史档案查询,患者是否有家族性高胆固醇病史？
病史档案查询,患者是否有心血管疾病家族史？
预问诊与病情小结,近期是否有胸痛发作？
病史档案查询,患者是否有既往肺炎病史？
病史档案查询,是否有家族成员患有肝硬化？
预问诊与病情小结,最近是否有腹部胀气或疼痛？
用药记录,目前是否正在服用抗抑郁药？
用药记录,最近是否服用抗癫痫药物？
用药记录,是否长期服用降脂药物？
用药记录,是否有使用非处方抗过敏药物？
用药记录,近期是否使用抗凝药物？
用药记录,目前是否在使用降糖药？
用药记录,是否有规律服用抗心律失常药？
用药记录,患者是否曾服用抗抑郁药？
用药记录,是否长期服用镇静药物？
用药记录,是否在使用激素替代疗法？
检查结果查询解读,患者的皮肤病理报告是否已更新？
检查结果查询解读,是否可以查到患者的心电图报告？
检查结果查询解读,患者的肺功能测试结果是否可以查阅？
检查结果查询解读,是否能找到患者既往的心脏核磁检查？
检查结果查询解读,患者最近的血脂报告在哪里？
检查结果查询解读,患者的过敏检测报告是否有更新？
检查结果查询解读,是否可以查看患者既往的血糖监测记录？
检查结果查询解读,患者的肝功能检查报告可以找到吗？
检查结果查询解读,是否可以调阅患者的甲状腺功能检查结果？
检查结果查询解读,是否可以查到患者的动脉硬化检测报告？
辅助诊断,近期胸痛是否提示心血管疾病？
辅助诊断,近期体重下降是否与肿瘤有关？
辅助诊断,持续性头痛是否可能为偏头痛？
辅助诊断,消化不良是否与胃肠功能紊乱相关？
用药指导,低血压是否可能由药物副作用引起？
辅助诊断,贫血是否与营养不足相关？
辅助诊断,患者的皮疹是否与过敏反应有关？
辅助诊断,心悸是否与甲状腺功能异常有关？
辅助诊断,慢性咳嗽可能与气道感染相关吗？
辅助诊断,长期疲倦是否可能与贫血相关？
推荐检验检查,是否需要为患者安排CT检查？
推荐检验检查,患者是否需要进行胃镜检查？
推荐检验检查,是否需要为患者安排动态心电图？
推荐检验检查,是否建议患者进行甲状腺超声检查？
推荐检验检查,需要为患者安排肺功能检测吗？
推荐检验检查,是否需要为患者开具脑部CT检查？
推荐检验检查,是否建议患者进行肾功能检查？
推荐检验检查,是否需要为患者开具尿常规检测？
推荐检验检查,是否需要为患者开具肿瘤标志物检测？
推荐检验检查,是否需要进行心脏超声检查？
检查结果查询解读,肾功能检查结果显示什么异常？
检查结果查询解读,患者的血常规是否有异常？
检查结果查询解读,心电图检查是否提示心律异常？
检查结果查询解读,肝功能检查结果是否显示损伤？
检查结果查询解读,胸片结果是否提示肺部感染？
检查结果查询解读,动态心电图是否显示心律失常？
检查结果查询解读,肺功能检查结果是否提示气道阻塞？
检查结果查询解读,MRI结果是否提示有肿瘤？
检查结果查询解读,患者的尿液分析结果显示什么异常？
检查结果查询解读,胃镜检查结果是否提示消化性溃疡？
辅助诊断,是哮喘还是慢性支气管炎引起的咳嗽？
辅助诊断,胸痛是心肌梗死还是心绞痛？
辅助诊断,是偏头痛还是紧张型头痛？
辅助诊断,腹痛是胆结石还是胃溃疡引起的？
辅助诊断,是急性肾炎还是尿路感染引起的血尿？
辅助诊断,是甲亢还是甲减引起的心悸？
辅助诊断,皮疹是药物过敏还是感染引起的？
辅助诊断,腰痛是肾结石还是腰椎问题？
辅助诊断,胸闷是心脏问题还是焦虑症？
辅助诊断,胃痛是功能性消化不良还是溃疡？
推荐诊疗方案,是否继续使用现有的抗抑郁药？
推荐诊疗方案,患者的降压药是否需要调整剂量？
推荐诊疗方案,患者的胰岛素注射剂量是否需要增加？
推荐诊疗方案,是否建议患者更换抗凝药物？
推荐诊疗方案,是否需要为患者增加化疗药物剂量？
推荐诊疗方案,患者是否需要更换抗生素？
推荐诊疗方案,是否需要调整降脂药方案？
推荐诊疗方案,是否建议患者进行微创手术？
推荐诊疗方案,是否需要调整患者的激素替代疗法？
推荐诊疗方案,是否需要减少患者的镇痛药剂量？
推荐诊疗方案,是否建议患者使用非甾体抗炎药？
推荐诊疗方案,是否推荐使用新一代抗病毒药？
推荐诊疗方案,是否需要换用高效降糖药物？
推荐诊疗方案,是否建议患者使用局部麻醉药？
推荐诊疗方案,是否建议患者使用新型镇静药？
推荐诊疗方案,是否推荐使用缓释止痛药物？
